round,alive_nodes,total_energy_joules,harvested_energy_joules,reroute_events
1,50,50.367555316949286,0.3882285676537811,0
2,50,51.09647297779871,0.7500000000000003,0
3,50,52.13501216088383,1.060660171779821,0
4,50,53.41023995211287,1.2990381056766571,0
5,50,54.838377431844705,1.4488887394336034,0
6,50,56.317560759677065,1.500000000000001,0
7,50,57.745484558789144,1.4488887394336034,0
8,50,59.023578160112855,1.2990381056766573,0
9,50,60.06339219878452,1.060660171779821,0
10,50,60.7928198571035,0.7500000000000003,0
11,50,61.160284152943035,0.3882285676537813,0
12,50,61.13614833402056,0.0,0
13,50,61.115056534480416,0.0,0
14,50,61.09345744234434,0.0,0
15,50,61.07244493148664,0.0,0
16,50,61.05065211488088,0.0,0
17,50,61.02902317409498,0.0,0
18,50,61.00753376425246,0.0,0
19,50,60.98429176760442,0.0,0
20,50,60.963950763865235,0.0,0
21,50,60.94285691229451,0.0,0
22,50,60.92139592283457,0.0,0
23,50,60.90050956285707,0.0,0
24,50,60.8798371150722,0.0,0
25,50,61.2458004578786,0.3882285676537811,0
26,50,61.97426064116118,0.7500000000000003,0
27,50,63.014084366943734,1.060660171779821,0
28,50,64.2902678781869,1.2990381056766571,0
29,50,65.71725534743882,1.4488887394336034,0
30,50,67.19576840781194,1.500000000000001,0
31,50,68.62401979214712,1.4488887394336034,0
32,50,69.90218242007606,1.2990381056766573,0
33,50,70.94030236251844,1.060660171779821,0
34,50,71.66969295788913,0.7500000000000003,0
35,50,72.03743277489014,0.3882285676537813,0
36,50,72.01553150470846,0.0,0
37,50,71.99428449649322,0.0,0
38,50,71.97106198596488,0.0,0
39,50,71.94816482716581,0.0,0
40,50,71.9267073676335,0.0,0
41,50,71.90517330389409,0.0,0
42,50,71.88423613414838,0.0,0
43,50,71.86223561141,0.0,0
44,50,71.84110338398648,0.0,0
45,50,71.81851655187765,0.0,0
46,50,71.79598978812196,0.0,0
47,50,71.77507448723925,0.0,0
48,50,71.75436097530478,0.0,0
49,50,72.12090924255298,0.3882285676537811,0
50,50,72.8470264583049,0.7500000000000003,0
51,50,73.88706416395432,1.060660171779821,0
52,50,75.16267083278105,1.2990381056766571,0
53,50,76.58917953818093,1.4488887394336034,0
54,50,78.06751313703359,1.500000000000001,0
55,50,79.49288599703384,1.4488887394336034,0
56,50,80.76966670386165,1.2990381056766573,0
57,50,81.80939452002681,1.060660171779821,0
58,50,82.53559437030235,0.7500000000000003,0
59,50,82.90273167098384,0.3882285676537813,0
60,50,82.88107152955527,0.0,0
61,50,82.8606819488832,0.0,0
62,50,82.83990570413248,0.0,0
63,50,82.81869322212299,0.0,0
64,50,82.79632253955994,0.0,0
65,50,82.77538787236749,0.0,0
66,50,82.7504054405875,0.0,0
67,50,82.7293041745719,0.0,0
68,50,82.7085966812633,0.0,0
69,50,82.68690505283361,0.0,0
70,50,82.66609155000441,0.0,0
71,50,82.644312785878,0.0,0
72,50,82.6234968541403,0.0,0
