round,alive_nodes,total_energy_joules,harvested_energy_joules,reroute_events
1,10,5.021909294447657,0.025881904510252074,0
2,10,5.0679107082236525,0.04999999999999998,0
3,10,5.134730865904297,0.07071067811865477,0
4,10,5.217334820058736,0.08660254037844387,0
5,10,5.309928816463638,0.09659258262890684,0
6,10,5.406018951605522,0.09999999999999999,0
7,10,5.498742533588745,0.09659258262890684,0
8,10,5.5814509693417005,0.08660254037844387,0
9,10,5.648146556672714,0.07071067811865477,0
10,10,5.694277556027029,0.04999999999999998,0
11,10,5.716227317061458,0.025881904510252105,0
12,10,5.712336796623447,0.0,0
13,10,5.708338210399442,0.0,0
14,10,5.704406066923618,0.0,0
15,10,5.700390976135977,0.0,0
16,10,5.696384093378522,0.0,0
17,10,5.6923317083189175,0.0,0
18,10,5.688316617531276,0.0,0
19,10,5.684406752673159,0.0,0
20,10,5.680512648047671,0.0,0
21,10,5.67662212760966,0.0,0
22,10,5.672615244852205,0.0,0
23,10,5.66864263478961,0.0,0
24,10,5.664590249730006,0.0,0
25,10,5.686562289382142,0.025881904510252074,0
26,10,5.7325471985945,0.04999999999999998,0
27,10,5.79925929048915,0.07071067811865477,0
28,10,5.881854948110139,0.08660254037844387,0
29,10,5.974553426113559,0.09659258262890684,0
30,10,6.070659321488071,0.09999999999999999,0
31,10,6.163382903471293,0.09659258262890684,0
32,10,6.246053300373914,0.08660254037844387,0
33,10,6.312791368429974,0.07071067811865477,0
34,10,6.358784485672519,0.04999999999999998,0
35,10,6.380614005123167,0.025881904510252105,0
36,10,6.376745004477482,0.0,0
37,10,6.372835139619366,0.0,0
38,10,6.368944619181354,0.0,0
39,10,6.36507561853567,0.0,0
40,10,6.361185098097659,0.0,0
41,10,6.357212488035064,0.0,0
42,10,6.353318383409576,0.0,0
43,10,6.349265998349971,0.0,0
44,10,6.345333854874148,0.0,0
45,10,6.341281469814543,0.0,0
46,10,6.337371604956426,0.0,0
47,10,6.333319219896822,0.0,0
48,10,6.329387076420998,0.0,0
49,10,6.351336837455427,0.025881904510252074,0
50,10,6.397364227392832,0.04999999999999998,0
